zipID,a0,a1,a2,a3,a4,a5
33031.0,-3781.347112732062,0.0005131997443037023,-0.11737313446614597,-4.3435091139048856e-05,2.0174119020200667,0.722277241749226
33032.0,-13556.852325840102,0.00039170294589976917,0.26001676409486674,-4.237428485805497e-06,6.499056889456253,0.22563240737318221
33033.0,-12760.470196641492,0.0002268321575815404,0.01150775478353244,0.00053752273913557,6.352044610517168,0.42608919797884265
33034.0,-8628.128673220463,0.0007053578825334533,0.21402440116745908,-0.000785064284147337,4.096522978084184,0.5661216404405061
33035.0,-10916.321719882913,0.0006101544470608363,0.23445561825434058,-0.0007152814926792741,5.223166577096195,-2.6242669714439764
33054.0,-24778.011025574007,0.0006625727824835511,0.24707043654889074,-0.0003753118629028521,12.090343334143268,-0.730245910635113
33055.0,-20119.677125627943,0.0003766625300354072,0.2752589225991455,-0.0002719074172339864,9.75125296181691,1.5946311540350455
33056.0,-19006.46102801067,0.0003642644028759964,0.23391247399782777,7.415716326465513e-05,9.232957787985367,2.4863078679562527
33125.0,-23283.288772864704,0.00041585254837451147,0.15639266728300819,-0.004476061562721083,11.450751237749227,-0.09932714004965389
33126.0,-14763.780103586087,0.00034975091821763356,-0.2417818446866851,-0.0023856873173308374,7.61391910278296,-0.09270274888084276
33127.0,-47288.993841426935,0.00041505291148897936,0.2060420850857359,0.001395771737555648,23.24254632404838,7.860714205864
33128.0,-90949.16878388512,0.0014131711518796585,3.1673273371002177,0.02102333675389522,42.08071323388005,-51.20352369160821
33129.0,-39624.750526551055,6.811889143690854e-05,-0.2546586960691893,0.0038421066381877753,19.996983940317218,-1.1666502810911734
33130.0,-20625.482156638136,-0.00026755408286969297,0.15746866562492962,0.01162095640283381,10.141162558376838,-2.3991315371737687
33133.0,-45133.63104685522,0.000265988733647975,-0.9798329103641669,-0.008343997677751937,23.434819326532242,5.237127784134128
33134.0,-26977.26662940284,0.0003215306831091476,-0.1969325865348776,-0.007386924127885022,13.671910815023201,-1.5662264789526634
33135.0,-22293.339396344574,0.0002600431127663786,0.2932734103145481,0.0004922676380659418,10.815607550934606,0.8887445535348145
33136.0,-19767.99584203501,0.0002221706758220301,0.13315892767942183,0.004687355567231006,9.750875028531183,-9.51350429622266
33137.0,-56745.33317908372,0.00010268118532707751,0.4381604682857027,0.0005516031723959084,27.858848226946318,-7.266431292131281
33138.0,-33489.71637842264,0.00019889108337329238,0.23046802024886148,-0.0001746658674513667,16.460610219747863,-0.2623133596134188
33139.0,3598359.0368133415,0.009620976553772486,1733.0576584659746,-2.370639803815448,-3419.946521293501,-27542.933060426636
33140.0,-72995.31117216958,9.825124722493778e-05,0.0874850142380462,-0.006529710188579555,36.30133436665522,3.6699593676642
