BLDType,DEM,EFFYRBLT,FID,FLD_ZONE,FLOODPLAIN,Income,JV,JVclass,LNDVAL,NOBULDNG,NORESUNTS,PARUSEDESC,TOTLVGAREA,Zip Code,cate1,cate2,cate3,cate4,cate5,latitude,longitude,Label
1,7,1968,12,X,OUTSIDE FLOODPLAIN,60782,150878,3,41854,1,1,SINGLE FAMILY,1519,33179,-9999,-9999,-9999,-9999,-9999,25.97246683,-80.19949671,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,61958,173361,3,41854,1,1,SINGLE FAMILY,1476,33179,-9999,-9999,-9999,-9999,-9999,25.97247356,-80.19927666,4
1,7,1968,12,X,OUTSIDE FLOODPLAIN,94097,200975,4,41854,1,1,SINGLE FAMILY,1866,33179,-9999,-9999,-9999,-9999,-9999,25.97248199,-80.19905069,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,60080,146660,3,41854,1,1,SINGLE FAMILY,1471,33179,-9999,-9999,-9999,-9999,-9999,25.9724892,-80.19881536,4
1,7,1968,12,X,OUTSIDE FLOODPLAIN,60475,180375,3,42996,2,1,SINGLE FAMILY,1621,33179,-9999,-9999,-9999,-9999,-9999,25.97249295,-80.19858799,4
1,8,1968,12,X,OUTSIDE FLOODPLAIN,80632,187393,3,63988,1,1,SINGLE FAMILY,1561,33179,-9999,-9999,-9999,-9999,-9999,25.97248609,-80.19830683,4
1,7,1968,12,X,OUTSIDE FLOODPLAIN,86830,294559,4,64326,1,1,SINGLE FAMILY,2734,33179,-9999,-9999,-9999,-9999,-9999,25.97205371,-80.19842577,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,61324,154110,3,46146,1,1,SINGLE FAMILY,1500,33179,-9999,-9999,-9999,-9999,-9999,25.97207454,-80.19872178,4
1,6,1993,12,X,OUTSIDE FLOODPLAIN,68725,185303,3,44645,1,1,SINGLE FAMILY,1535,33179,-9999,-9999,-9999,-9999,-9999,25.97206647,-80.19897591,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,39116,171874,3,44645,1,1,SINGLE FAMILY,1686,33179,-9999,-9999,-9999,-9999,-9999,25.97205737,-80.19921989,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,84119,215661,4,44645,1,1,SINGLE FAMILY,2089,33179,-9999,-9999,-9999,-9999,-9999,25.97204985,-80.19946695,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,63628,182855,3,44645,1,1,SINGLE FAMILY,1537,33179,-9999,-9999,-9999,-9999,-9999,25.97204217,-80.19970481,4
1,7,1968,12,X,OUTSIDE FLOODPLAIN,40525,155354,3,41854,1,1,SINGLE FAMILY,1534,33179,-9999,-9999,-9999,-9999,-9999,25.97203428,-80.19995042,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,32090,170094,3,41854,1,1,SINGLE FAMILY,1473,33179,-9999,-9999,-9999,-9999,-9999,25.97202603,-80.20019046,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,12473,165829,3,41854,1,1,SINGLE FAMILY,1492,33179,-9999,-9999,-9999,-9999,-9999,25.97201894,-80.20041642,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,55105,190304,3,41854,1,1,SINGLE FAMILY,1818,33179,-9999,-9999,-9999,-9999,-9999,25.9720114,-80.2006444,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,83559,153047,3,41854,2,1,SINGLE FAMILY,1544,33179,-9999,-9999,-9999,-9999,-9999,25.9720041,-80.20087414,4
1,6,1968,12,X,OUTSIDE FLOODPLAIN,33069,150437,3,44851,1,1,SINGLE FAMILY,1487,33179,-9999,-9999,-9999,-9999,-9999,25.97199643,-80.20110277,4
1,6,1968,12,X,500-YEAR FLOODPLAIN,44169,168284,3,41854,1,1,SINGLE FAMILY,1719,33179,-9999,-9999,-9999,-9999,-9999,25.97198903,-80.20133423,4
1,6,1968,12,X,500-YEAR FLOODPLAIN,63667,155804,3,41854,1,1,SINGLE FAMILY,1549,33179,-9999,-9999,-9999,-9999,-9999,25.97198143,-80.20156751,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,34500,169918,3,50225,1,1,SINGLE FAMILY,1647,33179,-9999,-9999,-9999,-9999,-9999,25.9719719,-80.20181389,4
1,6,1961,12,X,500-YEAR FLOODPLAIN,73211,160747,3,50225,1,1,SINGLE FAMILY,1484,33179,-9999,-9999,-9999,-9999,-9999,25.97170146,-80.20180459,4
1,6,1961,12,X,500-YEAR FLOODPLAIN,30486,145697,3,41854,1,1,SINGLE FAMILY,1492,33179,-9999,-9999,-9999,-9999,-9999,25.97170703,-80.20155667,4
1,6,1961,12,X,500-YEAR FLOODPLAIN,21629,139781,3,41854,1,1,SINGLE FAMILY,1407,33179,-9999,-9999,-9999,-9999,-9999,25.97171465,-80.20132498,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,85964,162389,3,41854,1,1,SINGLE FAMILY,1697,33179,-9999,-9999,-9999,-9999,-9999,25.97172213,-80.20109369,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,76206,212703,4,41854,1,1,SINGLE FAMILY,1840,33179,-9999,-9999,-9999,-9999,-9999,25.97172986,-80.20086581,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,20113,145697,3,41854,1,1,SINGLE FAMILY,1492,33179,-9999,-9999,-9999,-9999,-9999,25.9717372,-80.20063699,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,66363,219730,4,41854,1,1,SINGLE FAMILY,2019,33179,-9999,-9999,-9999,-9999,-9999,25.97174482,-80.20040918,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,88491,156593,3,41854,1,1,SINGLE FAMILY,1634,33179,-9999,-9999,-9999,-9999,-9999,25.97175204,-80.20018196,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,72450,221223,4,41854,1,1,SINGLE FAMILY,2021,33179,-9999,-9999,-9999,-9999,-9999,25.97176033,-80.19994195,4
1,7,1961,12,X,OUTSIDE FLOODPLAIN,33921,148142,3,41854,1,1,SINGLE FAMILY,1499,33179,-9999,-9999,-9999,-9999,-9999,25.97176845,-80.19970064,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,54514,135313,3,41854,1,1,SINGLE FAMILY,1492,33179,-9999,-9999,-9999,-9999,-9999,25.97177501,-80.19947642,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,91261,176060,3,41854,1,1,SINGLE FAMILY,1624,33179,-9999,-9999,-9999,-9999,-9999,25.97178295,-80.1992552,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,69942,173155,3,41854,1,1,SINGLE FAMILY,1695,33179,-9999,-9999,-9999,-9999,-9999,25.97179069,-80.19902349,4
1,7,1961,12,X,OUTSIDE FLOODPLAIN,30361,199733,3,42464,1,1,SINGLE FAMILY,1748,33179,-9999,-9999,-9999,-9999,-9999,25.97179414,-80.19879513,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,76639,220746,4,65444,1,1,SINGLE FAMILY,1838,33179,-9999,-9999,-9999,-9999,-9999,25.97177988,-80.19850817,4
1,6,1961,12,X,OUTSIDE FLOODPLAIN,41719,163349,3,56789,1,1,SINGLE FAMILY,1498,33179,-9999,-9999,-9999,-9999,-9999,25.971379,-80.19858847,4
1,6,1967,12,X,OUTSIDE FLOODPLAIN,31200,154356,3,48412,1,1,SINGLE FAMILY,1487,33179,-9999,-9999,-9999,-9999,-9999,25.97138941,-80.19888048,4
1,6,1988,12,X,OUTSIDE FLOODPLAIN,34412,168721,3,41854,1,1,SINGLE FAMILY,1519,33179,-9999,-9999,-9999,-9999,-9999,25.97138036,-80.19912643,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,93726,189844,3,55806,1,1,SINGLE FAMILY,1880,33169,-9999,-9999,-9999,-9999,-9999,25.97264593,-80.2023266,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,38844,125359,3,41854,1,1,SINGLE FAMILY,1178,33169,-9999,-9999,-9999,-9999,-9999,25.97241233,-80.20231879,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,103499,177282,3,41854,1,1,SINGLE FAMILY,1813,33169,-9999,-9999,-9999,-9999,-9999,25.97220443,-80.20231265,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,26887,147357,3,41854,1,1,SINGLE FAMILY,1491,33169,-9999,-9999,-9999,-9999,-9999,25.97198907,-80.20230625,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,61939,149268,3,41854,1,1,SINGLE FAMILY,1452,33169,-9999,-9999,-9999,-9999,-9999,25.97177812,-80.20229979,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,355193,146448,3,41854,1,1,SINGLE FAMILY,1477,33169,-9999,-9999,-9999,-9999,-9999,25.97157171,-80.20229386,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,39001,161552,3,41854,1,1,SINGLE FAMILY,1406,33169,-9999,-9999,-9999,-9999,-9999,25.97156102,-80.20259788,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,63322,125447,3,41854,1,1,SINGLE FAMILY,1179,33169,-9999,-9999,-9999,-9999,-9999,25.97176611,-80.20260367,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,90328,216521,4,41854,1,1,SINGLE FAMILY,1989,33169,-9999,-9999,-9999,-9999,-9999,25.97197591,-80.20260999,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,42012,166455,3,41854,1,1,SINGLE FAMILY,1496,33169,-9999,-9999,-9999,-9999,-9999,25.97219173,-80.20261629,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,28562,225197,4,41854,2,1,SINGLE FAMILY,2320,33169,-9999,-9999,-9999,-9999,-9999,25.97240011,-80.20262235,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,67087,166989,3,55806,1,1,SINGLE FAMILY,1486,33169,-9999,-9999,-9999,-9999,-9999,25.97263739,-80.20262823,4
1,5,1968,12,AE,100-YEAR FLOODPLAIN,77692,209779,4,44634,1,1,SINGLE FAMILY,1957,33169,-9999,-9999,-9999,-9999,-9999,25.97256663,-80.20308948,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,47448,195471,3,41854,1,1,SINGLE FAMILY,2053,33169,-9999,-9999,-9999,-9999,-9999,25.97237799,-80.20308195,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,385942,239086,4,41854,1,1,SINGLE FAMILY,2530,33169,-9999,-9999,-9999,-9999,-9999,25.97195758,-80.20306972,4
1,6,1968,12,AE,100-YEAR FLOODPLAIN,45142,194388,3,41854,1,1,SINGLE FAMILY,1604,33169,-9999,-9999,-9999,-9999,-9999,25.97175248,-80.20306343,4
1,7,2001,12,X,OUTSIDE FLOODPLAIN,61270,196231,3,43231,1,1,SINGLE FAMILY,1440,33179,-9999,-9999,-9999,-9999,-9999,25.97166605,-80.19550547,4
1,7,1993,12,X,OUTSIDE FLOODPLAIN,67292,194781,3,45786,1,1,SINGLE FAMILY,1548,33179,-9999,-9999,-9999,-9999,-9999,25.97172976,-80.19531113,4
1,8,1993,12,X,OUTSIDE FLOODPLAIN,91232,222398,4,43277,1,1,SINGLE FAMILY,1861,33179,-9999,-9999,-9999,-9999,-9999,25.97159052,-80.19532653,4
1,7,1992,12,X,OUTSIDE FLOODPLAIN,92247,179861,3,43061,1,1,SINGLE FAMILY,1440,33179,-9999,-9999,-9999,-9999,-9999,25.97148617,-80.19531353,4
1,8,1992,12,X,OUTSIDE FLOODPLAIN,68906,219395,4,42600,1,1,SINGLE FAMILY,1861,33179,-9999,-9999,-9999,-9999,-9999,25.97137924,-80.1953018,4
1,7,1993,12,X,OUTSIDE FLOODPLAIN,95445,179913,3,41313,1,1,SINGLE FAMILY,1440,33179,-9999,-9999,-9999,-9999,-9999,25.9712882,-80.19530799,4
1,8,1995,12,X,OUTSIDE FLOODPLAIN,54171,237161,4,42506,1,1,SINGLE FAMILY,1861,33179,-9999,-9999,-9999,-9999,-9999,25.97140556,-80.19588447,4
