Asian,Black,CensusID,ClaimDamage,ClaimN,FeatureID,HOUSEHOLDS,Other,Owner,PolicyN,PolicyRate,Renter,White,policycost
0.2,1.6,12086005902,95679.325,3.5,37,1315.0,-95.7,800.0,73.9090909091,0.056204631870038026,515.0,94.9,44090.8181818
0.5,1.5,12086006002,89708.1612,4.2,38,1708.0,-95.7,1349.0,170.181818182,0.09963806685128805,359.0,94.7,87675.2727273
1.3,0.9,12086004701,885134.3040014559,20.2666666667,39,1927.0,-95.0,1505.0,918.363636364,0.47657687408614424,422.0,93.8,611891.0
0.8,2.1,12086000707,101703.98290836468,5.85714285714,40,1958.0,-94.7,1379.0,474.727272727,0.24245519546833505,579.0,92.8,198223.818182
2.9,2.8,12086009010,3626302.1272012675,14.8181818182,41,1570.0,-94.2,1149.0,1413.90909091,0.9005790387961784,421.0,89.5,1228929.72727
0.2,2.4,12086000804,47495.72544364481,3.07692307692,42,1434.0,-95.8,626.0,101.0,0.07043235704323571,808.0,94.2,52987.5454545
1.3,1.2,12086006802,25837546.766551975,30.4285714286,43,1697.0,-96.5,1294.0,439.181818182,0.2587989500188568,403.0,95.0,716605.363636
1.7,2.7,12086006801,1605751.6907686433,6.30769230769,44,1425.0,-93.9,895.0,132.363636364,0.09288676236070176,530.0,90.5,441107.636364
5.3,1.7,12086006713,966737.5316654999,3.5,45,894.0,-95.4,353.0,26.3636363636,0.029489526133780763,541.0,89.4,283634.636364
1.9,1.2,12086006706,6676.2624489591735,1.28571428571,46,1266.0,-93.6,766.0,33.0,0.026066350710900472,500.0,91.5,322575.090909
1.2,0.4,12086004605,1391769.665454,6.0,47,1424.0,-97.1,920.0,157.181818182,0.11038049029634832,504.0,96.5,406392.727273
1.1,0.2,12086004607,5914426.238325162,14.1904761905,48,1436.0,-96.3,1021.0,286.909090909,0.19979741706754875,415.0,96.0,1122941.18182
1.8,1.0,12086004608,2054050.5862500002,9.75,49,681.0,-97.0,387.0,147.727272727,0.21692697904111602,294.0,95.2,400031.727273
1.7,6.5,12086004405,171807.5947450656,3.07142857143,50,1765.0,-90.5,303.0,229.181818182,0.12984805562719548,1462.0,83.3,696734.909091
1.2,3.1,12086004404,20214.04582223617,2.86666666667,51,1436.0,-91.1,371.0,202.636363636,0.14111167384122564,1065.0,87.8,792144.454545
0.7,35.8,12086002502,0.0,1.0,52,1080.0,-87.7,372.0,40.2727272727,0.03728956228953704,708.0,52.2,25410.9090909
0.4,21.4,12086002404,864136.1862239428,8.78571428571,53,2171.0,-86.39999999999999,312.0,267.727272727,0.123319793978351,1859.0,65.6,323203.272727
0.0,12.1,12086002403,533130.720492441,10.2222222222,54,1239.0,-86.1,457.0,352.363636364,0.28439357252945924,782.0,75.0,355318.0
0.5,6.0,12086005102,372031.27304479305,6.29411764706,55,1605.0,-93.2,405.0,241.545454545,0.15049561030841122,1200.0,87.7,392501.0
0.1,3.8,12086005406,4408.8165,1.5,56,1222.0,-87.30000000000001,279.0,37.4545454545,0.030650200862929623,943.0,84.4,64819.1818182
0.3,4.7,12086005104,245773.235,4.0,57,1450.0,-90.3,356.0,126.454545455,0.08721003134827586,1094.0,86.3,207694.909091
0.1,4.3,12086005409,6456.843000000001,1.8,58,1541.0,-88.7,82.0,4.36363636364,0.0028316913456456847,1459.0,85.3,6316.18181818
2.2,12.8,12086002705,808195.9212333643,3.77777777778,59,1440.0,-91.6,479.0,37.6363636364,0.02613636363638889,961.0,77.6,289564.363636
0.1,5.6,12086005303,4584.590625,1.25,60,1349.0,-88.3,111.0,40.4545454545,0.02998854370237213,1238.0,83.6,42408.0
0.0,5.0,12086005304,4719.965625,2.25,61,1744.0,-87.7,147.0,26.3636363636,0.01511676396995413,1597.0,83.7,20503.7272727
0.2,39.0,12086003706,0.0,1.0,62,3.0,-98.2,1.0,7.36363636364,2.454545454546667,2.0,60.0,25860.9090909
2.4,5.7,12086003705,14216.6625,1.875,63,642.0,-90.69999999999999,111.0,27.7272727273,0.04318889832912773,531.0,83.6,252628.727273
3.0,11.1,12086003704,48771.84142027171,2.15384615385,64,788.0,-91.0,110.0,36.0,0.04568527918781726,678.0,77.9,91241.3636364
1.1,16.0,12086003707,1616.25,1.0,65,539.0,-89.5,64.0,6.27272727273,0.011637712936419296,475.0,73.4,110575.181818
2.8,1.5,12086006705,1253087.7398437501,3.875,66,2138.0,-96.3,1207.0,51.4545454545,0.024066672336061738,931.0,93.0,394154.0
5.8,9.9,12086003703,43967.6234375,1.75,67,761.0,-89.4,111.0,24.0909090909,0.03165691076333771,650.0,74.7,365226.090909
1.4,0.6,12086006102,63581.89737600001,2.16,68,2556.0,-95.9,1953.0,178.454545455,0.06981789728286385,603.0,94.9,154282.090909
1.9,1.6,12086008407,540129.9188261146,13.6111111111,69,2559.0,-95.1,2032.0,1165.27272727,0.4553625350801094,527.0,92.6,766095.636364
1.7,2.8,12086007001,6937.3667187500005,1.625,70,3443.0,-92.9,1144.0,21.0909090909,0.006125736012460063,2299.0,89.4,11253.2727273
0.8,2.6,12086006302,37109.2,1.0,71,1862.0,-95.80000000000001,1038.0,26.5454545455,0.014256420271482276,824.0,93.4,13415.0
0.3,2.8,12086006301,3146.37,1.5,72,2671.0,-94.5,924.0,13.6363636364,0.0051053401858479975,1747.0,92.4,9965.09090909
2.2,0.8,12086008602,1463573.470715374,19.2142857143,73,1997.0,-96.3,1750.0,1183.54545455,0.5926617198547821,247.0,94.3,607167.818182
0.2,2.8,12086013700,2639685.9201749996,8.85,74,1841.0,-93.6,877.0,100.818181818,0.054762727766431284,964.0,91.6,106160.090909
0.3,2.2,12086013600,312211.6342856,8.0,75,1916.0,-94.2,1079.0,139.363636364,0.0727367621941545,837.0,92.7,73780.0909091
0.3,2.0,12086000705,50472.65177276596,4.36842105263,76,1929.0,-95.6,792.0,157.454545455,0.08162495876360808,1137.0,94.3,120519.636364
0.1,2.1,12086000706,62498.11420143079,6.23076923077,77,2763.0,-95.5,1064.0,194.272727273,0.07031224295077813,1699.0,94.3,115545.454545
0.5,1.6,12086009311,19336.95710742298,2.81818181818,78,1993.0,-95.8,1396.0,478.181818182,0.23993066642348218,597.0,94.7,237470.090909
2.5,6.1,12086004303,28042.032849999996,2.9,79,1501.0,-88.8,288.0,268.818181818,0.17909272606129248,1213.0,81.2,987386.363636
2.4,3.9,12086004205,412048.09623561334,4.47619047619,80,1655.0,-91.39999999999999,492.0,192.0,0.11601208459214502,1163.0,86.1,1217554.54545
2.0,4.8,12086004204,55414.75296288258,1.83333333333,81,1331.0,-84.8,299.0,223.090909091,0.16761150194665664,1032.0,79.0,853538.545455
2.2,5.1,12086004206,525373.5403878472,5.84210526316,82,1077.0,-92.39999999999999,274.0,184.181818182,0.17101375875766017,803.0,86.1,1140455.54545
1.8,2.9,12086004105,190590.1324260341,3.92307692308,83,1531.0,-95.2,757.0,184.363636364,0.12042040258915741,774.0,91.5,592121.272727
1.9,3.2,12086004304,496181.8063890368,5.16666666667,84,1402.0,-91.69999999999999,615.0,250.363636364,0.1785760601740371,787.0,87.6,852696.363636
3.0,4.3,12086004203,111573.64148437501,2.625,85,2967.0,-91.8,739.0,125.818181818,0.042405858381530166,2228.0,85.5,774456.818182
2.0,2.0,12086004106,571058.6936212436,9.07407407407,86,1465.0,-96.1,963.0,682.727272727,0.466025442134471,502.0,93.1,1647333.0
1.9,4.8,12086004103,162819.78401363656,3.57142857143,87,1781.0,-94.10000000000001,392.0,95.6363636364,0.05369812669084784,1389.0,88.4,721845.818182
1.2,1.8,12086003919,230860.463076,2.0,88,1553.0,-94.9,990.0,57.6363636364,0.037112919276497104,563.0,92.9,595157.909091
1.1,4.4,12086003914,438006.3103701277,3.16666666667,89,2172.0,-92.2,663.0,159.272727273,0.07332998493232043,1509.0,87.7,666769.363636
1.5,2.2,12086003921,130360.3507653881,3.21428571429,90,1413.0,-95.60000000000001,901.0,85.7272727273,0.06067039825003539,512.0,92.9,844261.181818
1.4,1.3,12086003922,115240.9838547588,2.47619047619,91,1068.0,-96.10000000000001,614.0,117.909090909,0.11040177051404494,454.0,94.4,1078125.72727
1.7,3.8,12086006205,14419.2171429,1.0,92,1989.0,-92.4,297.0,60.0909090909,0.030211618446907992,1692.0,87.9,127839.727273
0.9,2.6,12086006201,42266.2575,1.5,93,1231.0,-93.3,480.0,13.7272727273,0.011151318218765232,751.0,90.8,10058.0
2.7,2.0,12086006206,30946.445431971446,1.44444444444,94,1575.0,-95.2,529.0,68.2727272727,0.04334776334774603,1046.0,91.5,117548.0
0.1,3.0,12086005403,8582.43,1.0,95,502.0,-89.8,174.0,1.63636363636,0.0032596885186454184,328.0,87.7,806.909090909
0.5,3.3,12086005407,0.0,1.0,96,875.0,-92.8,292.0,5.27272727273,0.006025974025977143,583.0,90.0,12553.3636364
0.3,3.5,12086005410,0.0,1.5,97,1368.0,-91.6,110.0,3.54545454545,0.0025917065390716376,1258.0,88.8,6786.45454545
1.4,1.7,12086006504,498.33,1.0,98,878.0,-94.19999999999999,509.0,9.63636363636,0.010975357216810935,369.0,92.1,8966.90909091
1.5,1.8,12086006503,658.9450000018827,1.16666666667,99,920.0,-93.89999999999999,543.0,13.3636363636,0.014525691699565217,377.0,91.6,6441.54545455
0.2,1.8,12086006501,2075.3124,1.4,100,1112.0,-92.8,522.0,11.4545454545,0.010300850228866907,590.0,91.8,4475.45454545
2.6,8.8,12086007606,780625.645410398,12.1428571429,101,1872.0,-94.7,1417.0,722.272727273,0.385829448329594,455.0,84.3,495206.181818
2.2,2.9,12086007605,419461.93275555625,6.46666666667,102,1761.0,-95.1,827.0,233.818181818,0.1327757988745031,934.0,91.0,224279.363636
4.0,5.5,12086007704,110183.406875,4.25,103,1895.0,-91.2,743.0,53.4545454545,0.0282082034060686,1152.0,82.7,60498.1818182
7.3,2.2,12086007807,746201.38453125,7.375,104,1615.0,-96.4,1132.0,653.0,0.4043343653250774,483.0,87.9,804222.636364
5.8,5.0,12086007804,1088205.4929742196,9.53333333333,105,3237.0,-91.39999999999999,1353.0,192.545454545,0.059482685988569664,1884.0,81.6,327765.363636
0.2,40.2,12086003601,1287747.7999993223,6.33333333333,106,1453.0,-90.10000000000001,65.0,86.8181818182,0.0597509854220234,1388.0,50.7,165079.545455
0.1,78.2,12086001802,7634.995,2.0,107,1268.0,-92.39999999999999,586.0,196.181818182,0.15471752222555205,682.0,15.1,91720.7272727
1.2,2.8,12086006900,45322.21875,2.875,108,2388.0,-94.0,1333.0,53.9090909091,0.022574996193090453,1055.0,91.0,36426.3636364
